(0.336,0.068)
(0.344,0.068)
(0.353,0.068)
(0.397,0.063)
(0.403,0.063)
(0.417,0.063)
(0.453,0.060)
(0.456,0.060)
(0.478,0.057)
(0.483,0.057)
(0.486,0.057)
(0.486,0.057)
(0.511,0.054)
(0.514,0.054)
(0.531,0.052)
(0.533,0.052)
(0.547,0.051)
(0.550,0.051)
(0.583,0.046)
(0.589,0.046)
(0.592,0.046)
(0.631,0.043)
(0.633,0.043)
(0.692,0.042)
(0.700,0.042)
(0.700,0.042)
(0.747,0.040)
(0.753,0.040)
(0.761,0.040)
(0.800,0.037)
(0.806,0.037)
(0.833,0.034)
(0.839,0.032)
(0.844,0.032)
(0.869,0.029)
(0.872,0.029)
(0.875,0.029)
(0.872,0.026)
(0.869,0.025)
(0.867,0.023)
(0.836,0.017)
(0.833,0.017)
(0.831,0.017)
(0.808,0.014)
(0.806,0.014)
(0.806,0.014)
(0.786,0.014)
(0.783,0.014)
(0.764,0.018)
(0.761,0.020)
(0.756,0.023)
(0.722,0.058)
(0.719,0.065)
(0.697,0.094)
(0.694,0.095)
(0.692,0.098)
(0.681,0.109)
(0.681,0.111)
(0.681,0.111)
(0.681,0.111)
(0.678,0.111)
(0.644,0.112)
(0.636,0.111)
(0.597,0.106)
(0.592,0.105)
(0.589,0.103)
(0.550,0.089)
(0.544,0.088)
(0.533,0.082)
(0.533,0.080)
(0.531,0.080)
(0.531,0.078)
(0.531,0.078)
