(0.406,0.066)
(0.508,0.065)
(0.517,0.065)
(0.528,0.063)
(0.617,0.054)
(0.628,0.052)
(0.739,0.040)
(0.747,0.040)
(0.817,0.034)
(0.819,0.032)
(0.825,0.032)
(0.856,0.026)
(0.858,0.026)
(0.861,0.025)
(0.867,0.025)
(0.844,0.017)
(0.842,0.015)
(0.814,0.012)
(0.811,0.011)
(0.806,0.011)
(0.783,0.009)
(0.747,0.022)
(0.742,0.026)
(0.711,0.066)
(0.708,0.072)
(0.706,0.075)
(0.686,0.098)
(0.683,0.102)
(0.678,0.106)
(0.678,0.108)
(0.678,0.108)
(0.678,0.109)
(0.675,0.111)
(0.656,0.117)
(0.644,0.117)
(0.636,0.117)
(0.592,0.112)
(0.586,0.111)
(0.553,0.103)
(0.550,0.102)
(0.547,0.100)
(0.542,0.098)
(0.539,0.097)
(0.519,0.086)
(0.517,0.085)
(0.511,0.080)
(0.511,0.080)
